target,node
0.2519683372545173,11142
0.6895407927007086,2243
0.6782445967801902,15514
0.2725001116191168,20944
0.2488884236526936,8721
0.3571205567494938,8299
0.2107249833037879,26315
0.2178541485252405,24607
0.4553706320970244,8474
0.6441665163584285,1219
0.3315410811741738,23905
2.604918254777368,96
0.4846751498689884,5554
0.3206145649612898,25861
0.2633759571099453,27315
0.2882359673595391,25230
0.2521401213533791,3488
0.2268001595449861,14867
0.3543012728145761,21949
0.2047756587128268,19202
0.2297710606474326,26693
0.3150312764600123,23644
0.2602453735030557,5427
0.2145865885399344,8317
0.3254822964907224,14590
0.2444240912923685,12180
2.3604922217951767,17402
0.3715651998595685,18033
0.6140568444192332,2821
1.1146984384541927,15576
0.3532641384690571,19513
0.2228048474074051,21006
0.8161379708838313,3377
0.2590746716282367,21753
0.3907930969813154,17524
0.4946613130996349,23481
0.2225750088721867,9624
0.3811546261217,17335
0.2152422200908514,18580
0.2688148178959473,17604
0.3206384824219567,21124
0.7907665727217268,2004
0.3765889184811437,211
0.2453819560345563,30354
0.4383907810859079,5517
0.3301959553867055,3964
0.2066584787277839,21377
0.5047337729623216,13584
0.5674655954180844,3544
0.3568217029710869,1254
0.2000351849393344,7986
0.3543583766673939,19739
0.1972319314653593,27963
0.3670305192464662,27419
0.2944407664405328,6202
0.2621178281607763,17964
0.2730052542421385,2346
1.4796461599797217,6430
0.5716606690086675,4352
0.3245916237126006,7941
1.120529494218346,334
0.3659771397405688,21878
0.2726625535710367,5037
0.2741902757816161,11880
0.2634138826964559,23974
0.3252947806208227,14510
0.2684725049040397,21072
0.764544785980309,13061
0.6199008971294853,17710
0.5600776740627633,6274
1.151446811558055,2271
0.4814911452489605,15373
0.1905649700930296,25680
0.4172443725058176,4319
0.2521289966706415,10947
0.2186613810346753,15857
0.2619876791962096,10687
0.23887372978275,12324
0.2532191126305186,25572
5.552141489151156,19124
6.743358855757806,112
0.2862862607377843,26497
0.2737469104318042,27400
0.7786005512077144,3461
0.7253247632070419,17086
0.7147131622688855,1959
0.298314906432546,25799
0.3711408848176084,492
0.4993016238044614,20221
0.3558593107199996,26633
0.244673247304771,7320
1.5183010603373663,4192
0.3492989501575733,20789
0.6161112257763306,4037
1.705672997572708,24039
0.6181036986358498,27668
0.3808108558797302,13663
1.5186942619522288,8497
0.5706185577276582,1655
0.2756941971355577,22333
0.2607918407196204,20575
0.9030877396429152,23829
0.4702882777173169,11216
0.3108149361110217,27949
0.3438608422118042,18694
0.273565909164846,10650
1.105935182966706,11805
0.3822572077141885,14613
0.3420116512338303,22474
0.556712037472546,9325
0.2274524571893788,26079
0.3115130192382329,20172
3.290838940328905,2554
0.2799461542790561,27114
0.6690630805680184,562
0.2735663352799335,25932
0.7816246382932012,26625
1.8685566840018717,25089
0.2784469365011571,8747
0.40296509371528,20313
0.6347535940803549,22076
0.3025885307396952,5924
0.2673565889591575,14239
0.4143742598386226,13146
0.3774625650405495,2021
0.3626221197686477,9480
0.286520880611166,3992
0.3004738063779887,7188
0.3824977496840867,1243
0.9651322616203748,2559
0.3829456419886038,27802
0.2600654122593512,16590
3.5325938469960927,1542
0.274063021463966,7646
0.7636868149484854,27468
0.2408090799956764,30496
0.3502585156292833,1628
0.2687226651490227,18995
0.4038095230350143,3448
0.4670579619159367,4800
0.408175666743449,11380
0.3927254679476527,9322
0.2328085830163163,10505
0.3371535419554383,13266
0.2575166634974778,9631
0.7638957610021377,16271
1.4190902421540403,20280
0.2671906499520484,13494
0.2039386372906696,18540
0.4328730692756285,2908
1.0776887193158848,5468
0.3282757321280536,742
0.4717434532239288,10407
0.398727944830592,11272
0.2080179253637602,13267
0.4275588017902771,4119
0.3708662696038049,4302
0.4366024241223655,1771
0.2474953981218931,28715
0.2454706958518384,18908
0.2359819358178539,13797
0.2841449449846186,22748
0.1972318050237969,24934
0.2591830817437934,25357
0.2026194295038842,1395
0.250613411838863,10358
1.2584850968624746,2401
0.2056523938237189,20770
0.2383900549851985,8861
0.2771533950997874,12236
0.2985023467658136,14169
0.194897624713201,28615
0.3325866990797835,22578
0.959823266592704,5403
0.2518339112364362,1859
0.7101655174552718,7299
0.4123762819525908,602
0.3942791221139103,27061
2.5162168298873,764
0.546288950929165,232
0.6855084200080108,20486
0.7829096280308914,28043
0.262147759221938,5026
0.2292425727636879,8759
1.2919925889105388,16152
0.4252220530402101,13900
0.2625495230128317,22293
0.6786226019324526,8192
0.3322938303946215,1033
0.7199666976377153,21727
0.269267397149851,14128
0.1812539914447499,2141
0.3980897715042521,12420
