node,target,degree,betweenness,closeness
11142,0.2519683372545173,0.005000500050005001,1.5431228705031437e-05,0.458627648839556
2243,0.6895407927007086,0.019001900190019003,0.0001299165881151994,0.4818330763299923
15514,0.6782445967801902,0.017201720172017203,0.00010620497184640812,0.4840724244771495
20944,0.2725001116191168,0.006100610061006101,1.4784155775674108e-05,0.43276347111014934
8721,0.2488884236526936,0.006200620062006201,2.609651798734314e-05,0.4279477851487267
8299,0.3571205567494938,0.006200620062006201,1.7583418718939805e-05,0.4535105224963715
26315,0.2107249833037879,0.004100410041004101,7.890873804893851e-06,0.41548242333582647
24607,0.2178541485252405,0.005700570057005701,1.6434219055943793e-05,0.44822485207100593
8474,0.4553706320970244,0.008700870087008702,3.2546461418705046e-05,0.470629765602937
1219,0.6441665163584285,0.012201220122012201,9.318025942702016e-05,0.4692163303613327
23905,0.3315410811741738,0.007500750075007501,2.092778255035323e-05,0.4226298660129338
96,2.604918254777368,0.056305630563056305,0.0012517550164225357,0.5117195496417605
5554,0.4846751498689884,0.0089008900890089,5.177083297659062e-05,0.44124266360707826
25861,0.3206145649612898,0.007100710071007101,1.384195530986524e-05,0.4214719271623672
27315,0.2633759571099453,0.0042004200420042,1.111440414354943e-05,0.4312888198757764
25230,0.2882359673595391,0.0047004700470047005,1.277711914054539e-05,0.37649672415091495
3488,0.2521401213533791,0.005500550055005501,1.7991298577279743e-05,0.43306336350643165
14867,0.2268001595449861,0.004600460046004601,7.890143850855944e-06,0.4457272767797441
21949,0.3543012728145761,0.0089008900890089,2.0440019815395643e-05,0.4792465490797546
19202,0.2047756587128268,0.004800480048004801,1.3476523998058754e-05,0.4255799106192807
26693,0.2297710606474326,0.0049004900490049,1.2190745070424198e-05,0.42509140379219457
23644,0.3150312764600123,0.006500650065006501,2.892766570961877e-05,0.4409896798094734
5427,0.2602453735030557,0.0056005600560056,1.805796350775362e-05,0.3975587451791181
8317,0.2145865885399344,0.0037003700370037006,6.0567556408900844e-06,0.38737796373779637
14590,0.3254822964907224,0.006700670067006701,1.5237686495385749e-05,0.46937051119560624
12180,0.2444240912923685,0.004100410041004101,7.028421640018278e-06,0.43097280289642687
17402,2.3604922217951767,0.04810481048104811,0.0011763578576026387,0.5082083862770013
18033,0.3715651998595685,0.0084008400840084,2.198789635071849e-05,0.470563320626853
2821,0.6140568444192332,0.015401540154015403,7.563759572566313e-05,0.44552867263734797
15576,1.1146984384541927,0.023602360236023603,0.0001652128588668728,0.44473602277276164
19513,0.3532641384690571,0.0083008300830083,3.1126800909547755e-05,0.45431414421373073
21006,0.2228048474074051,0.0051005100510051,1.986745461181058e-05,0.4314190792596108
3377,0.8161379708838313,0.0185018501850185,0.0001624275098959524,0.4580813633864761
21753,0.2590746716282367,0.004100410041004101,1.0993213140745685e-05,0.40260106297310355
17524,0.3907930969813154,0.008700870087008702,3.248078373769239e-05,0.4527712370947292
23481,0.4946613130996349,0.011301130113011301,4.101933579190412e-05,0.4633456904541242
9624,0.2225750088721867,0.004300430043004301,7.664624935748185e-06,0.38536246964967047
17335,0.3811546261217,0.009000900090009001,8.020995296772748e-05,0.43843725335438044
18580,0.2152422200908514,0.0033003300330033004,2.9933882944502824e-06,0.36454117904407746
17604,0.2688148178959473,0.0054005400540054005,1.4071248298733206e-05,0.4481244117778873
21124,0.3206384824219567,0.008000800080008,3.887877033421953e-05,0.44894935344827586
2004,0.7907665727217268,0.0214021402140214,0.00012273212324641559,0.4668939110945088
211,0.3765889184811437,0.009400940094009401,1.7780814741307483e-05,0.4684249976576408
30354,0.2453819560345563,0.005800580058005801,1.4803223485259286e-05,0.40316922704729646
5517,0.4383907810859079,0.006700670067006701,2.2715519898222877e-05,0.40687690742624616
3964,0.3301959553867055,0.006600660066006601,2.455198331707868e-05,0.45238202958874363
21377,0.2066584787277839,0.004800480048004801,1.8371100692658798e-05,0.4332134656210736
13584,0.5047337729623216,0.014601460146014602,4.596088958744924e-05,0.47564456283893064
3544,0.5674655954180844,0.015201520152015202,0.00010445287981126202,0.47938440885990985
1254,0.3568217029710869,0.007200720072007201,2.7339960548286243e-05,0.4736393349438681
7986,0.2000351849393344,0.0056005600560056,9.453733451580997e-06,0.43237049208682865
19739,0.3543583766673939,0.007600760076007601,2.503390662743051e-05,0.42995356037151705
27963,0.1972319314653593,0.0039003900390039005,7.717071322266758e-06,0.37471893269374906
27419,0.3670305192464662,0.007400740074007401,2.3837207842660548e-05,0.44864719343114823
6202,0.2944407664405328,0.0056005600560056,1.3173686402919674e-05,0.4292521679402421
17964,0.2621178281607763,0.006100610061006101,1.7057171882998556e-05,0.453716308194936
2346,0.2730052542421385,0.0054005400540054005,1.6915888801249623e-05,0.3962667934847224
6430,1.4796461599797217,0.03480348034803481,0.0005512890217128951,0.497933369852099
4352,0.5716606690086675,0.014601460146014602,5.7256733112106e-05,0.44979757085020244
7941,0.3245916237126006,0.006900690069006901,3.311060363566392e-05,0.4641199405867063
334,1.120529494218346,0.020902090209020903,0.00020421106039564523,0.4844242042536699
21878,0.3659771397405688,0.009700970097009702,3.4323044919593235e-05,0.46952479338842973
5037,0.2726625535710367,0.005300530053005301,7.582290474434321e-06,0.3957335655202438
11880,0.2741902757816161,0.0038003800380038005,9.058078344275613e-06,0.3893843218193855
23974,0.2634138826964559,0.005700570057005701,1.3910804045918112e-05,0.4541284403669725
14510,0.3252947806208227,0.0056005600560056,1.9668569608853593e-05,0.43145631067961165
21072,0.2684725049040397,0.005200520052005201,1.0233759667949023e-05,0.4509335257508794
13061,0.764544785980309,0.016401640164016403,8.576059407136951e-05,0.44241405247555415
17710,0.6199008971294853,0.014201420142014202,8.435802581678932e-05,0.43276347111014934
6274,0.5600776740627633,0.013001300130013002,6.063838726690343e-05,0.45572216398523313
2271,1.151446811558055,0.027602760276027604,0.0003408458961067502,0.49217365623154163
15373,0.4814911452489605,0.0112011201120112,6.114810306312998e-05,0.45398410896708286
25680,0.1905649700930296,0.0047004700470047005,7.415548173570843e-06,0.4248565965583174
4319,0.4172443725058176,0.0098009800980098,3.7855558359846995e-05,0.4467229593888219
10947,0.2521289966706415,0.005700570057005701,2.3114163527347445e-05,0.39554570987776416
15857,0.2186613810346753,0.005500550055005501,1.5019962789237415e-05,0.4343236903831118
10687,0.2619876791962096,0.004000400040004,1.002214438384828e-05,0.3998000799680128
12324,0.23887372978275,0.005700570057005701,1.1885864725847465e-05,0.4254712565422748
25572,0.2532191126305186,0.005200520052005201,1.090989722800919e-05,0.4345124282982792
19124,5.552141489151156,0.11181118111811182,0.007165343103539167,0.5290196285910799
112,6.743358855757806,0.14461446144614462,0.0055984689126756465,0.5385071090047393
26497,0.2862862607377843,0.004800480048004801,5.8278542333928454e-06,0.42657849829351535
27400,0.2737469104318042,0.005500550055005501,1.1301652758517199e-05,0.4456279525804439
3461,0.7786005512077144,0.019401940194019404,9.80823404852629e-05,0.43652318169911813
17086,0.7253247632070419,0.015201520152015202,0.00011902271106356203,0.45923850640701785
1959,0.7147131622688855,0.017301730173017303,0.00011650303083250714,0.4205855135862707
25799,0.298314906432546,0.006600660066006601,2.660625067998338e-05,0.43340123965151056
492,0.3711408848176084,0.008200820082008202,2.244082497131472e-05,0.4320342205323194
20221,0.4993016238044614,0.009900990099009901,4.058560291949517e-05,0.43868731628131447
26633,0.3558593107199996,0.0084008400840084,2.3638116268374133e-05,0.4152753550959382
7320,0.244673247304771,0.004300430043004301,1.3161925942841794e-05,0.406430371514511
4192,1.5183010603373663,0.04020402040204021,0.00048335136737011515,0.4894512702530716
20789,0.3492989501575733,0.0049004900490049,1.4197877844463868e-05,0.38088526588450405
4037,0.6161112257763306,0.014701470147014702,0.00011491333770401909,0.48451809856083733
24039,1.705672997572708,0.029502950295029504,0.0003875681849991338,0.4587538997981281
27668,0.6181036986358498,0.014501450145014501,0.00011631477953721062,0.4729224802535118
13663,0.3808108558797302,0.009600960096009602,2.975454091221098e-05,0.4410285815102329
8497,1.5186942619522288,0.039503950395039504,0.00030882041821234763,0.4921494315105577
1655,0.5706185577276582,0.012201220122012201,5.859729674028283e-05,0.4547687269750307
22333,0.2756941971355577,0.0047004700470047005,1.570021529557553e-05,0.40506380392951186
20575,0.2607918407196204,0.006700670067006701,2.1257259293242266e-05,0.4554315645638807
23829,0.9030877396429152,0.024602460246024603,0.00019258621934530832,0.4899549196393571
11216,0.4702882777173169,0.0089008900890089,5.202049023755961e-05,0.43882208373562714
27949,0.3108149361110217,0.008600860086008601,4.0833322214306553e-05,0.4642492339121553
18694,0.3438608422118042,0.007200720072007201,3.200074845381908e-05,0.43296960249415434
10650,0.273565909164846,0.0063006300630063005,1.8280365386837483e-05,0.41429459291485393
11805,1.105935182966706,0.027602760276027604,0.0002925875398402543,0.4903153042710734
14613,0.3822572077141885,0.006100610061006101,2.6991362112704523e-05,0.43362678346849387
22474,0.3420116512338303,0.006000600060006001,1.1838944555644616e-05,0.4162434435101157
9325,0.556712037472546,0.013001300130013002,8.9310961620271e-05,0.4427862899654592
26079,0.2274524571893788,0.004500450045004501,9.211706273622345e-06,0.4211701276273114
20172,0.3115130192382329,0.006500650065006501,2.1183930348002854e-05,0.452935314368545
2554,3.290838940328905,0.050805080508050805,0.001414037581810838,0.507434661253489
27114,0.2799461542790561,0.004100410041004101,7.294021731673171e-06,0.37870696511760027
562,0.6690630805680184,0.0159015901590159,8.673043659068398e-05,0.4281676872350447
25932,0.2735663352799335,0.0038003800380038005,7.880006830274484e-06,0.38366203668175886
26625,0.7816246382932012,0.0178017801780178,8.838777159744888e-05,0.44634407642174806
25089,1.8685566840018717,0.04580458045804581,0.0005750372642627285,0.475576694411415
8747,0.2784469365011571,0.0051005100510051,1.2531036962561422e-05,0.43721031919545256
20313,0.40296509371528,0.011001100110011002,2.9537768574639192e-05,0.4631739855475264
